basDt,crno,bizYear,fnclDcd,fnclDcdNm,enpSaleAmt,enpBzopPft,iclsPalClcAmt,enpCrtmNpf,enpTastAmt,enpTdbtAmt,enpTcptAmt,enpCptlAmt,fnclDebtRto,curCd
20191231,1101110193196,2019,110,연결요약재무제표,15123477947655,1107258909223,1248554844383,756665993886,20043105157128,5989974765604,14053130391524,171377095000,42.6237756195,KRW
20191231,1101110193196,2019,120,별도요약재무제표,9179765913688,775704397230,659861144003,394375877936,14396226786211,2936897808285,11459328977926,171377095000,25.6288811844,KRW
20201231,1101110193196,2020,110,연결요약재무제표,12223031551258,356911281146,246746457698,175348148336,19386545994630,5674190700686,13712355293944,171377095000,41.3801318523,KRW
20201231,1101110193196,2020,120,별도요약재무제표,9171305612089,206743632531,164686313773,115572495291,15176140842307,3576792170552,11599348671755,171377095000,30.8361466818,KRW
20211231,1101110193196,2021,110,연결요약재무제표,18120462422756,1535640888894,1902286913873,1425601668371,22869964008005,7418767512580,15451196495425,171377095000,48.0141943362,KRW
20211231,1101110193196,2021,120,별도요약재무제표,13739086278515,976101130406,1089574666460,836972045970,17427438053752,5088453424385,12338984629367,171377095000,41.2388342901,KRW
20221231,1101110193196,2022,110,연결요약재무제표,22276082763692,-762606983916,-392619240018,27820456953,26784587810580,9520345523797,17264242286783,171377095000,55.144879026,KRW
20221231,1101110193196,2022,120,별도요약재무제표,16296609822524,-608072280207,-418207507452,-318348246843,18458139122099,6781025911804,11677113210295,171377095000,58.071081351,KRW
